truck_state,load,decision,decision_score,outcome,future_state,regret,timestamp
"{'fuel_percent': 40, 'time_left_hours': 5.3, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 1.0, 'profit_inr': 2218}",REJECT,-2.54,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.3, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 76, 'time_left_hours': 5.6, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 1.8, 'profit_inr': 1589}",REJECT,0.47,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.8, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 36, 'time_left_hours': 5.9, 'capacity_left_tons': 3}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 1809}",REJECT,18.36,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.1000000000000005, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 77, 'time_left_hours': 2.4, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 0.7, 'profit_inr': 749}",REJECT,10.08,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.7, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 57, 'time_left_hours': 4.2, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 1.7, 'profit_inr': 642}",REJECT,12.53,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.5, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 80, 'time_left_hours': 5.6, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 1.7, 'profit_inr': 2990}",ACCEPT,-15.34,"{'actual_profit_inr': 2729, 'delay_hours': 0.88, 'fuel_used_percent': 9}","{'time_left_hours': 3.8999999999999995, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 55, 'time_left_hours': 2.1, 'capacity_left_tons': 3}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1524}",ACCEPT,-3.14,"{'actual_profit_inr': 1239, 'delay_hours': 1.47, 'fuel_used_percent': 7}","{'time_left_hours': 0.20000000000000018, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 67, 'time_left_hours': 3.2, 'capacity_left_tons': 7}","{'load_weight_tons': 4, 'additional_time_hours': 0.6, 'profit_inr': 1242}",REJECT,11.73,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.6, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 37, 'time_left_hours': 4.3, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 0.9, 'profit_inr': 1652}",REJECT,5.68,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.4, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 68, 'time_left_hours': 2.7, 'capacity_left_tons': 4}","{'load_weight_tons': 4, 'additional_time_hours': 0.5, 'profit_inr': 1984}",REJECT,-13.0,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.2, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 71, 'time_left_hours': 4.2, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 625}",ACCEPT,16.13,"{'actual_profit_inr': 618, 'delay_hours': 0.49, 'fuel_used_percent': 10}","{'time_left_hours': 3.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 76, 'time_left_hours': 3.5, 'capacity_left_tons': 4}","{'load_weight_tons': 3, 'additional_time_hours': 1.2, 'profit_inr': 676}",REJECT,24.38,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.3, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 28, 'time_left_hours': 4.1, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 0.5, 'profit_inr': 717}",REJECT,-12.16,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.5999999999999996, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 45, 'time_left_hours': 5.3, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 0.7, 'profit_inr': 673}",REJECT,0.38,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.6, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 36, 'time_left_hours': 3.1, 'capacity_left_tons': 8}","{'load_weight_tons': 3, 'additional_time_hours': 1.1, 'profit_inr': 2408}",REJECT,22.01,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.0, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 70, 'time_left_hours': 5.5, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 2.0, 'profit_inr': 926}",REJECT,-8.0,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.5, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 41, 'time_left_hours': 3.3, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 0.8, 'profit_inr': 1385}",ACCEPT,27.95,"{'actual_profit_inr': 1101, 'delay_hours': 1.23, 'fuel_used_percent': 5}","{'time_left_hours': 2.5, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 30, 'time_left_hours': 3.1, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 0.5, 'profit_inr': 2360}",REJECT,5.52,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.6, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 39, 'time_left_hours': 3.9, 'capacity_left_tons': 2}","{'load_weight_tons': 2, 'additional_time_hours': 1.3, 'profit_inr': 2728}",ACCEPT,-18.38,"{'actual_profit_inr': 2724, 'delay_hours': 0.65, 'fuel_used_percent': 12}","{'time_left_hours': 2.5999999999999996, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 40, 'time_left_hours': 2.5, 'capacity_left_tons': 2}","{'load_weight_tons': 3, 'additional_time_hours': 0.9, 'profit_inr': 1250}",ACCEPT,-5.8,"{'actual_profit_inr': 988, 'delay_hours': 0.72, 'fuel_used_percent': 15}","{'time_left_hours': 1.6, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 80, 'time_left_hours': 4.9, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 1.1, 'profit_inr': 2373}",ACCEPT,-15.64,"{'actual_profit_inr': 2216, 'delay_hours': 1.1, 'fuel_used_percent': 13}","{'time_left_hours': 3.8000000000000003, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 27, 'time_left_hours': 2.0, 'capacity_left_tons': 8}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 1487}",REJECT,3.87,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.4, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 49, 'time_left_hours': 4.4, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 0.7, 'profit_inr': 2655}",ACCEPT,-4.93,"{'actual_profit_inr': 2488, 'delay_hours': 0.02, 'fuel_used_percent': 14}","{'time_left_hours': 3.7, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 38, 'time_left_hours': 2.1, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 2.0, 'profit_inr': 2008}",ACCEPT,20.75,"{'actual_profit_inr': 1835, 'delay_hours': 1.21, 'fuel_used_percent': 12}","{'time_left_hours': 0.10000000000000009, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 41, 'time_left_hours': 6.0, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 0.9, 'profit_inr': 1638}",REJECT,-11.02,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.1, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 72, 'time_left_hours': 5.7, 'capacity_left_tons': 4}","{'load_weight_tons': 4, 'additional_time_hours': 1.2, 'profit_inr': 1064}",ACCEPT,-17.51,"{'actual_profit_inr': 794, 'delay_hours': 0.15, 'fuel_used_percent': 5}","{'time_left_hours': 4.5, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 71, 'time_left_hours': 4.1, 'capacity_left_tons': 4}","{'load_weight_tons': 1, 'additional_time_hours': 1.4, 'profit_inr': 2855}",REJECT,-2.07,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.6999999999999997, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 73, 'time_left_hours': 3.5, 'capacity_left_tons': 8}","{'load_weight_tons': 1, 'additional_time_hours': 1.7, 'profit_inr': 1885}",ACCEPT,27.34,"{'actual_profit_inr': 1760, 'delay_hours': 0.52, 'fuel_used_percent': 11}","{'time_left_hours': 1.8, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 76, 'time_left_hours': 2.5, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 0.5, 'profit_inr': 2539}",REJECT,19.31,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.0, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 74, 'time_left_hours': 4.6, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.2, 'profit_inr': 1260}",REJECT,-5.71,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3999999999999995, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 62, 'time_left_hours': 5.5, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 2.0, 'profit_inr': 2176}",REJECT,-2.01,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.5, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 35, 'time_left_hours': 3.0, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 0.8, 'profit_inr': 857}",ACCEPT,-13.05,"{'actual_profit_inr': 684, 'delay_hours': 0.95, 'fuel_used_percent': 14}","{'time_left_hours': 2.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 58, 'time_left_hours': 3.7, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 1409}",ACCEPT,12.34,"{'actual_profit_inr': 1165, 'delay_hours': 0.46, 'fuel_used_percent': 7}","{'time_left_hours': 2.6, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 68, 'time_left_hours': 2.4, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1502}",ACCEPT,25.55,"{'actual_profit_inr': 1313, 'delay_hours': 1.0, 'fuel_used_percent': 14}","{'time_left_hours': 0.5, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 63, 'time_left_hours': 2.9, 'capacity_left_tons': 6}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1099}",ACCEPT,-11.9,"{'actual_profit_inr': 860, 'delay_hours': 0.8, 'fuel_used_percent': 15}","{'time_left_hours': 1.0, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 21, 'time_left_hours': 5.3, 'capacity_left_tons': 3}","{'load_weight_tons': 4, 'additional_time_hours': 1.5, 'profit_inr': 2793}",ACCEPT,9.79,"{'actual_profit_inr': 2739, 'delay_hours': 1.2, 'fuel_used_percent': 14}","{'time_left_hours': 3.8, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 38, 'time_left_hours': 2.7, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 0.5, 'profit_inr': 799}",REJECT,23.54,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 69, 'time_left_hours': 3.0, 'capacity_left_tons': 5}","{'load_weight_tons': 4, 'additional_time_hours': 1.7, 'profit_inr': 1709}",REJECT,-4.4,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.3, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 25, 'time_left_hours': 2.0, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 1.2, 'profit_inr': 2676}",REJECT,-19.21,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.8, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 20, 'time_left_hours': 3.7, 'capacity_left_tons': 4}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 1752}",ACCEPT,29.13,"{'actual_profit_inr': 1614, 'delay_hours': 0.39, 'fuel_used_percent': 6}","{'time_left_hours': 2.6, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 24, 'time_left_hours': 4.9, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 2044}",ACCEPT,11.0,"{'actual_profit_inr': 1804, 'delay_hours': 0.36, 'fuel_used_percent': 10}","{'time_left_hours': 3.3000000000000003, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 47, 'time_left_hours': 3.7, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 2172}",REJECT,22.39,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.1, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 55, 'time_left_hours': 4.0, 'capacity_left_tons': 2}","{'load_weight_tons': 2, 'additional_time_hours': 0.9, 'profit_inr': 1445}",ACCEPT,-10.62,"{'actual_profit_inr': 1297, 'delay_hours': 0.32, 'fuel_used_percent': 8}","{'time_left_hours': 3.1, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 76, 'time_left_hours': 4.1, 'capacity_left_tons': 3}","{'load_weight_tons': 4, 'additional_time_hours': 1.2, 'profit_inr': 2033}",ACCEPT,-4.32,"{'actual_profit_inr': 1863, 'delay_hours': 0.23, 'fuel_used_percent': 9}","{'time_left_hours': 2.8999999999999995, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 51, 'time_left_hours': 5.3, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 1.3, 'profit_inr': 1454}",REJECT,6.94,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.0, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 74, 'time_left_hours': 6.0, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 2573}",REJECT,17.24,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.4, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 27, 'time_left_hours': 5.8, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.3, 'profit_inr': 1522}",ACCEPT,29.48,"{'actual_profit_inr': 1318, 'delay_hours': 0.43, 'fuel_used_percent': 8}","{'time_left_hours': 4.5, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 65, 'time_left_hours': 5.9, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 1.7, 'profit_inr': 2663}",REJECT,28.36,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.2, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 42, 'time_left_hours': 4.9, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 1.4, 'profit_inr': 2153}",ACCEPT,0.19,"{'actual_profit_inr': 1942, 'delay_hours': 0.56, 'fuel_used_percent': 13}","{'time_left_hours': 3.5000000000000004, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 33, 'time_left_hours': 3.1, 'capacity_left_tons': 5}","{'load_weight_tons': 1, 'additional_time_hours': 0.7, 'profit_inr': 782}",REJECT,-16.68,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.4000000000000004, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 33, 'time_left_hours': 3.0, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 0.8, 'profit_inr': 2161}",REJECT,6.45,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.2, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 24, 'time_left_hours': 2.1, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 0.8, 'profit_inr': 1915}",REJECT,8.12,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.3, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 71, 'time_left_hours': 5.7, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 0.8, 'profit_inr': 1992}",REJECT,23.3,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.9, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 57, 'time_left_hours': 2.4, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 2424}",REJECT,-10.87,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.7999999999999998, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 35, 'time_left_hours': 4.9, 'capacity_left_tons': 2}","{'load_weight_tons': 2, 'additional_time_hours': 1.6, 'profit_inr': 679}",ACCEPT,-4.2,"{'actual_profit_inr': 676, 'delay_hours': 0.83, 'fuel_used_percent': 13}","{'time_left_hours': 3.3000000000000003, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 28, 'time_left_hours': 4.6, 'capacity_left_tons': 6}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 1406}",ACCEPT,13.82,"{'actual_profit_inr': 1211, 'delay_hours': 0.21, 'fuel_used_percent': 8}","{'time_left_hours': 3.8, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 22, 'time_left_hours': 5.0, 'capacity_left_tons': 5}","{'load_weight_tons': 1, 'additional_time_hours': 1.9, 'profit_inr': 2818}",REJECT,25.5,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.1, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 78, 'time_left_hours': 4.2, 'capacity_left_tons': 3}","{'load_weight_tons': 4, 'additional_time_hours': 0.9, 'profit_inr': 2445}",REJECT,-9.85,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3000000000000003, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 41, 'time_left_hours': 3.7, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 2100}",REJECT,-16.0,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.9000000000000001, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 55, 'time_left_hours': 2.4, 'capacity_left_tons': 2}","{'load_weight_tons': 1, 'additional_time_hours': 2.0, 'profit_inr': 2837}",ACCEPT,5.79,"{'actual_profit_inr': 2593, 'delay_hours': 0.38, 'fuel_used_percent': 7}","{'time_left_hours': 0.3999999999999999, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 26, 'time_left_hours': 5.1, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 1.1, 'profit_inr': 2351}",ACCEPT,6.97,"{'actual_profit_inr': 2117, 'delay_hours': 1.06, 'fuel_used_percent': 10}","{'time_left_hours': 3.9999999999999996, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 30, 'time_left_hours': 3.5, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.2, 'profit_inr': 2663}",REJECT,9.56,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.3, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 65, 'time_left_hours': 3.3, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 630}",REJECT,-15.2,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.6999999999999997, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 27, 'time_left_hours': 2.8, 'capacity_left_tons': 8}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 1083}",REJECT,20.35,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.1999999999999997, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.992087
"{'fuel_percent': 27, 'time_left_hours': 4.1, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 0.8, 'profit_inr': 936}",ACCEPT,13.36,"{'actual_profit_inr': 682, 'delay_hours': 1.47, 'fuel_used_percent': 15}","{'time_left_hours': 3.3, 'capacity_left_tons': -2}",1,2026-02-01T02:45:41.992087
